Name,Latitude,Longitude
"Maplewoods Apartments, South",42.437941049,-76.472145365
"Maplewood Apartments, Middle",42.439539277,-76.473364834
"Rhodes Hall, Southeast Corner",42.443010265,-76.480392741
"Gothics Way",42.448740459,-76.48918267
"Old Oxley Parking Lot West",42.44440088,-76.473781209
"Tower Rd Outside VRT/ECRF",42.447143864,-76.466543545
"VMC/ECRF Loading dock",42.44665289,-76.465492711
"Upson Hall Southwest Corner",42.443721719,-76.482994952
"Beebe Hall Exterior,2nd level southeast corner of*",42.448827398,-76.474105399
"Snyder Hill North of Wildlife Bld",42.427405888,-76.453191833
"West side of Baker Institute",42.428319329,-76.454295745
"Flora Rose east side/ west of Mennon",42.447918457,-76.488171183
"Flora Rose Pavilion West",42.447898939,-76.488913645
"Keaton House NW corner",42.447264363,-76.489923753
"East side Stewart Ave At Cornell St.",42.446259157,-76.490067953
"North end Maryann Wood Dr.",42.446349108,-76.489282933
"Ornithology Overflow lot or the Hawk Barn Lot",42.481921613,-76.449038308
"Ornithology Staff Lot/ Boardwalk Parragon Lot",42.480528431,-76.449446866
"Ornithology Handicap Lot/ SE Parking Lot",42.479857863,-76.450270259
"Phillips, Exterior  Loading Dock",42.444384479,-76.482017138
"NW Corner by Lynah",42.446077982,-76.477922362
"HEB NE driveway",42.450689501,-76.477987009
"Physical Science Bld",42.448752595,-76.482097654
"MVR Parking Garage-2nd level east",42.450583562,-76.478142448
"MVR Parking Garage-2nd level west",42.450639243,-76.478927591
"MVR Parking Garage- 1st Level west",42.450589806,-76.478879503
"MVR Parking Garage-3rd level west",42.450589806,-76.478879503
"MVR parking Garage-1st level east",42.450665117,-76.478213303
"MVR Parking Garage-3rd level east",42.45067117,-76.478139986
"Plantation Welcome Center",42.449154196,-76.473089718
"NYS Vet Diagonstic Lab",42.448538669,-76.46373323
"Suspension Bridge,North End",42.452446156,-76.486061779
"Upper Stewart Ave Bridge over Fall Creek",42.452045508,-76.489753192
